COUNTRY_ID,CURRENCY_ID,NAME                           ,EU_GEOGRAPHIC_CODE,STATE_BASED_TAX,VALID_FROM,VALID_TO,EEA_FLG
AND       ,EUR        ,Andorra                        ,NON-EU            ,               ,01/01/2014,        ,N
ARE       ,AED        ,United Arab Emirates           ,NON-EC            ,               ,01/01/2014,        ,N
AFG       ,AFN        ,Afghanistan                    ,NON-EC            ,               ,01/01/2014,        ,N
ATG       ,XCD        ,Antigua and Barbuda            ,NON-EC            ,               ,01/01/2014,        ,N
AIA       ,XCD        ,Anguilla                       ,NON-EC            ,               ,01/01/2014,        ,N
ALB       ,ALL        ,Albania                        ,NON-EU            ,               ,01/01/2014,        ,N
ARM       ,AMD        ,Armenia                        ,NON-EC            ,               ,01/01/2014,        ,N
ANT       ,ANG        ,Netherlands Antilles           ,NON-EC            ,               ,01/01/2014,        ,N
AGO       ,AOA        ,Angola                         ,NON-EC            ,               ,01/01/2014,        ,N
ATA       ,XXX        ,Antarctica                     ,NON-EC            ,               ,01/01/2014,        ,N
ARG       ,ARS        ,Argentina                      ,NON-EC            ,               ,01/01/2014,        ,N
ASM       ,WST        ,American Samoa                 ,NON-EC            ,               ,01/01/2014,        ,N
AUT       ,EUR        ,Austria                        ,INTRA-EU          ,               ,01/01/2014,        ,Y
AUS       ,AUD        ,Australia                      ,NON-EC            ,               ,01/01/2014,        ,N
ABW       ,AWG        ,Aruba                          ,NON-EC            ,               ,01/01/2014,        ,N
ALA       ,EUR        ,Aland Islands (and Islands)    ,NON-EC            ,               ,01/01/2014,        ,N
AZE       ,AZN        ,Azerbaijan                     ,NON-EC            ,               ,01/01/2014,        ,N
BIH       ,BAM        ,Bosnia and Herzegovina         ,NON-EU            ,               ,01/01/2014,        ,N
BRB       ,BBD        ,Barbados                       ,NON-EC            ,               ,01/01/2014,        ,N
BGD       ,BDT        ,Bangladesh                     ,NON-EC            ,               ,01/01/2014,        ,N
BEL       ,EUR        ,Belgium                        ,INTRA-EU          ,               ,01/01/2014,        ,Y
BFA       ,XOF        ,Burkina Faso                   ,NON-EC            ,               ,01/01/2014,        ,N
BGR       ,BGN        ,Bulgaria                       ,INTRA-EU          ,               ,01/01/2014,        ,Y
BHR       ,BHD        ,Bahrain                        ,NON-EC            ,               ,01/01/2014,        ,N
BDI       ,BIF        ,Burundi                        ,NON-EC            ,               ,01/01/2014,        ,N
BEN       ,XOF        ,Benin                          ,NON-EC            ,               ,01/01/2014,        ,N
BLM       ,EUR        ,Saint Barthelemy               ,NON-EC            ,               ,01/01/2014,        ,N
BMU       ,BMD        ,Bermuda                        ,NON-EC            ,               ,01/01/2014,        ,N
BRN       ,BND        ,Brunei Darussalam              ,NON-EC            ,               ,01/01/2014,        ,N
BOL       ,BOB        ,"Bolivia, PS"                  ,NON-EC            ,               ,01/01/2014,        ,N
BES       ,USD        ,"Bonaire, SES"                 ,NON-EC            ,               ,01/01/2014,        ,N
BRA       ,BRL        ,Brazil                         ,NON-EC            ,               ,01/01/2014,        ,N
BHS       ,BSD        ,Bahamas                        ,NON-EC            ,               ,01/01/2014,        ,N
BTN       ,BTN        ,Bhutan                         ,NON-EC            ,               ,01/01/2014,        ,N
BVT       ,NOK        ,Bouvet Island                  ,NON-EC            ,               ,01/01/2014,        ,N
BWA       ,BWP        ,Botswana                       ,NON-EC            ,               ,01/01/2014,        ,N
BLR       ,BYN        ,Belarus                        ,NON-EU            ,               ,01/01/2014,        ,N
BLZ       ,BZD        ,Belize                         ,NON-EC            ,               ,01/01/2014,        ,N
CAN       ,CAD        ,Canada                         ,NON-EC            ,               ,01/01/2014,        ,N
CCK       ,AUD        ,Cocos (Keeling) Islands        ,NON-EC            ,               ,01/01/2014,        ,N
COD       ,CDF        ,"Congo, DR"                    ,NON-EC            ,               ,01/01/2014,        ,N
CAF       ,XAF        ,Central African Republic       ,NON-EC            ,               ,01/01/2014,        ,N
COG       ,XAF        ,Congo                          ,NON-EC            ,               ,01/01/2014,        ,N
CHE       ,CHF        ,Switzerland                    ,NON-EU            ,               ,01/01/2014,        ,N
CIV       ,XOF        ,Cote d'Ivoire Cote d'Ivoire    ,NON-EC            ,               ,01/01/2014,        ,N
COK       ,NZD        ,Cook Islands                   ,NON-EC            ,               ,01/01/2014,        ,N
CHL       ,CLP        ,Chile                          ,NON-EC            ,               ,01/01/2014,        ,N
CMR       ,XAF        ,Cameroon                       ,NON-EC            ,               ,01/01/2014,        ,N
CHN       ,CNY        ,China                          ,NON-EC            ,               ,01/01/2014,        ,N
COL       ,COP        ,Colombia                       ,NON-EC            ,               ,01/01/2014,        ,N
CRI       ,CRC        ,Costa Rica                     ,NON-EC            ,               ,01/01/2014,        ,N
CUB       ,CUC        ,Cuba                           ,NON-EC            ,               ,01/01/2014,        ,N
CPV       ,CVE        ,Cape Verde                     ,NON-EC            ,               ,01/01/2014,        ,N
CUW       ,ANG        ,Curacao Cura                   ,NON-EC            ,               ,01/01/2014,        ,N
CXR       ,AUD        ,Christmas Island               ,NON-EC            ,               ,01/01/2014,        ,N
CYP       ,EUR        ,Cyprus                         ,INTRA-EU          ,               ,01/01/2014,        ,Y
CZE       ,CZK        ,Czech Republic                 ,INTRA-EU          ,               ,01/01/2014,        ,N
DEU       ,EUR        ,Germany                        ,INTRA-EU          ,               ,01/01/2014,        ,Y
DJI       ,DJF        ,Djibouti                       ,NON-EC            ,               ,01/01/2014,        ,N
DMA       ,XCD        ,Dominica                       ,NON-EC            ,               ,01/01/2014,        ,N
DNK       ,DKK        ,Denmark                        ,INTRA-EU          ,               ,01/01/2014,        ,Y
DOM       ,DOP        ,Dominican Republic             ,NON-EC            ,               ,01/01/2014,        ,N
DZA       ,DZD        ,Algeria                        ,NON-EC            ,               ,01/01/2014,        ,N
ECU       ,USD        ,Ecuador                        ,NON-EC            ,               ,01/01/2014,        ,N
EST       ,EUR        ,Estonia                        ,INTRA-EU          ,               ,01/01/2014,        ,Y
EGY       ,EGP        ,Egypt                          ,NON-EC            ,               ,01/01/2014,        ,N
ESH       ,MAD        ,Western Sahara                 ,NON-EC            ,               ,01/01/2014,        ,N
